timestamp_utc,pps,cpu_percent,mem_percent,temp_c
2025-09-22T00:04:31.792688,0,-1.0,-1.0,-1.0
2025-09-22T00:04:32.798424,0,-1.0,-1.0,-1.0
2025-09-22T00:04:34.802748,0,-1.0,-1.0,-1.0
2025-09-22T00:04:35.805960,0,-1.0,-1.0,-1.0
2025-09-22T00:04:36.821562,0,-1.0,-1.0,-1.0
2025-09-22T00:04:37.826402,0,-1.0,-1.0,-1.0
2025-09-22T00:04:38.833829,0,-1.0,-1.0,-1.0
2025-09-22T00:04:39.836074,0,-1.0,-1.0,-1.0
2025-09-22T00:04:40.852236,0,-1.0,-1.0,-1.0
2025-09-22T00:04:41.856981,0,-1.0,-1.0,-1.0
2025-09-22T00:04:42.863598,0,-1.0,-1.0,-1.0
2025-09-22T00:04:43.869084,0,-1.0,-1.0,-1.0
2025-09-22T00:04:44.883705,0,-1.0,-1.0,-1.0
2025-09-22T00:04:45.884426,0,-1.0,-1.0,-1.0
2025-09-22T00:04:46.887673,0,-1.0,-1.0,-1.0
2025-09-22T00:04:47.893988,0,-1.0,-1.0,-1.0
2025-09-22T00:04:48.897708,0,-1.0,-1.0,-1.0
2025-09-22T00:04:49.903183,0,-1.0,-1.0,-1.0
2025-09-22T00:04:50.907397,0,-1.0,-1.0,-1.0
2025-09-22T00:04:51.910415,0,-1.0,-1.0,-1.0
2025-09-22T00:04:52.913909,0,-1.0,-1.0,-1.0
2025-09-22T00:04:53.919153,0,-1.0,-1.0,-1.0
2025-09-22T00:04:54.923638,0,-1.0,-1.0,-1.0
2025-09-22T00:04:55.925120,0,-1.0,-1.0,-1.0
2025-09-22T00:04:56.939556,0,-1.0,-1.0,-1.0
2025-09-22T00:04:57.954875,0,-1.0,-1.0,-1.0
2025-09-22T00:04:58.959149,0,-1.0,-1.0,-1.0
2025-09-22T00:04:59.959664,0,-1.0,-1.0,-1.0
2025-09-22T00:05:01.963135,0,-1.0,-1.0,-1.0
2025-09-22T00:05:02.963863,0,-1.0,-1.0,-1.0
2025-09-22T00:05:04.970305,0,-1.0,-1.0,-1.0
2025-09-22T00:05:05.973678,0,-1.0,-1.0,-1.0
2025-09-22T00:05:06.988471,0,-1.0,-1.0,-1.0
2025-09-22T00:05:07.989099,0,-1.0,-1.0,-1.0
2025-09-22T00:05:09.002513,0,-1.0,-1.0,-1.0
2025-09-22T00:05:10.015129,0,-1.0,-1.0,-1.0
2025-09-22T00:05:11.019507,0,-1.0,-1.0,-1.0
2025-09-22T00:05:12.020529,0,-1.0,-1.0,-1.0
2025-09-22T00:05:13.035333,0,-1.0,-1.0,-1.0
2025-09-22T00:05:14.036665,0,-1.0,-1.0,-1.0
2025-09-22T00:05:15.040676,0,-1.0,-1.0,-1.0
2025-09-22T00:05:16.044899,0,-1.0,-1.0,-1.0
2025-09-22T00:05:17.045934,0,-1.0,-1.0,-1.0
